OBJECTID,FID_,Date,Block,Street_or_,Building_C,Tree_Tag_N,Status,Species_Co,Common_Nam,Genus,Species,Ownership,Location_C,DBH,Number_of_,Percentage,Crown_Widt,Total_Heig,Latitude,Longitude,Height_to_,Unbalanced,Reduced_Cr,Weak_Yello,Defoliatio,Dead_Broke,Poor_Branc,Lean,Trunk_Scar,Branch_Sca,Conks,Rot_Cavity,Rot_Cavi_1,Crack,Confined_S,Girdling_R,Recent_Tre,Conflict_w,Conflict_1,Conflict_2,Conflict_3,Conflict_4,Cable_Brac,Comments,Additional,Replacemen,New_Specie,Transparen,locale,subway,sbwy100
2531,2530,5/31/2013,B,Toronto Track & Field,7,646,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,nw,21.6,2,0,10,11,43.77800016,-79.508416,6,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,n,n,n,e,n,n,Track and Field Centre,,,,0,periph,within,
2532,2531,5/31/2013,B,Toronto Track & Field,7,647,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,nw,15.5,2,0,0,7.5,43.77790589,-79.50831838,0.5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,n,n,n,e,n,n,Track and Field Centre,,,,0,periph,within,
2533,2532,5/31/2013,B,Toronto Track & Field,7,648,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,nw,12,1,0,3,6,43.77792452,-79.50832186,11,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,n,n,n,e,n,n,Track and Field Centre,,,,0,periph,within,
2534,2533,5/31/2013,B,Toronto Track & Field,7,649,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,nw,14.3,2,0,2,7.5,43.77800928,-79.50838454,2,0,0,0,0,2,0,1,1,2,0,0,0,0,0,0,0,n,n,n,e,n,n,Track and Field Centre,,,,0,periph,within,
2535,2534,5/31/2013,B,Toronto Track & Field,7,650,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,nw,14,1,0,2,9,43.77801455,-79.5083318,17,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,n,n,n,e,n,n,Track and Field Centre,Dead branch,,,0,periph,within,
2536,2535,5/31/2013,B,Toronto Track & Field,7,651,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,nw,17.8,1,0,4,10,43.77802614,-79.50830686,12,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,n,n,n,e,n,n,Track and Field Centre,,,,0,periph,within,
2537,2536,5/31/2013,B,Toronto Track & Field,7,652,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,nw,17.8,2,0,3,8.5,43.77802583,-79.50828385,10,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,n,n,n,e,n,n,Track and Field Centre,Dead branch,,,0,periph,within,
2539,2538,5/31/2013,B,Toronto Track & Field,7,654,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,18.5,1,0,6,7,43.77806777,-79.50812006,5,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,n,n,n,e,n,n,Track and Field Centre,Broken branch,,,0,periph,within,
2540,2539,5/31/2013,B,Toronto Track & Field,7,655,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,17.2,2,0,6,5.5,43.77807098,-79.50809203,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,n,n,n,e,n,n,Track and Field Centre,Broken branch,,,0,periph,within,
2541,2540,5/31/2013,B,Toronto Track & Field,7,656,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,13.9,2,0,8,5,43.77805983,-79.50805943,8,2,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,n,n,n,e,n,n,Track and Field Centre,Dead branch,,,0,periph,within,
2542,2541,5/31/2013,B,Toronto Track & Field,7,657,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,23.4,1,0,8.5,10,43.77807099,-79.50800162,14,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,n,n,n,e,n,n,Track and Field Centre,Dead branch,,,0,periph,within,
2543,2542,5/31/2013,B,Toronto Track & Field,7,658,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,19,2,0,11,7.5,43.77808132,-79.50797177,13,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,n,n,n,n,n,n,Track and Field Centre,Dead branch,,,0,periph,within,
2544,2543,5/31/2013,B,Toronto Track & Field,7,659,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,29,4,0,14,9,43.77809267,-79.50792875,14,0,1,0,0,1,2,0,1,0,0,0,1,0,0,0,0,n,n,n,n,n,n,Track and Field Centre,Broken branch,,,0,periph,within,
2545,2544,5/31/2013,B,Toronto Track & Field,7,660,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,20,2,0,25,9,43.77809462,-79.50789582,4,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,n,n,n,e,n,n,Track and Field Centre,,,,0,periph,within,
2546,2545,5/31/2013,B,Toronto Track & Field,7,661,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,15.5,2,0,12,8,43.77810133,-79.50786277,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,n,n,n,n,n,n,Track and Field Centre,Dead branch,,,0,periph,within,
2547,2546,5/31/2013,B,Toronto Track & Field,7,662,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,24.3,3,0,10,9.5,43.77809954,-79.50781679,6,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,n,e,n,e,n,n,Track and Field Centre,Dead branch,,,0,periph,within,
2548,2547,5/31/2013,B,Toronto Track & Field,7,663,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,18,2,0,9,8.5,43.77811604,-79.50780323,9,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,n,e,n,e,n,n,Track and Field Centre,Dead branch,,,0,periph,within,
2549,2548,5/31/2013,B,Toronto Track & Field,7,664,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,24.5,2,0,11,10,43.77811789,-79.50776208,6,0,0,0,0,2,0,2,1,1,0,0,0,0,0,0,0,n,e,n,e,n,n,Track and Field Centre,Broken branch,,,0,periph,within,
2550,2549,5/31/2013,B,Toronto Track & Field,7,665,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,19,3,0,15,10,43.77813835,-79.5076876,6,0,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,n,e,n,e,n,n,Track and Field Centre,Broken branch,,,0,periph,within,
2551,2550,5/31/2013,B,Toronto Track & Field,7,666,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,18,2,0,11,9,43.77814617,-79.50764795,3,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,n,e,n,e,n,n,Track and Field Centre,Dead branch,,,0,periph,within,
2552,2551,5/31/2013,B,Toronto Track & Field,7,667,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,15,1,0,10,9,43.77815486,-79.50758362,4,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,n,e,n,e,n,n,Track and Field Centre,Dead branch,,,0,periph,within,
2553,2552,5/31/2013,B,Toronto Track & Field,7,668,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,24,1,0,9,9.5,43.77816502,-79.50754063,4,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,n,e,n,e,n,n,Track and Field Centre,Dead branch,,,0,periph,within,
2554,2553,5/31/2013,B,Toronto Track & Field,7,669,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,12,2,0,4,9,43.77817526,-79.5075042,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,n,e,n,e,n,n,Track and Field Centre,,,,0,periph,within,
2555,2554,5/31/2013,B,Toronto Track & Field,7,670,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,21.1,2,0,10,8,43.77819166,-79.50748243,12,0,2,0,1,1,1,2,0,0,0,0,0,0,0,0,0,n,e,n,e,n,n,Track and Field Centre,,,,0,periph,within,
2556,2555,5/31/2013,B,Toronto Track & Field,7,671,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,14.5,2,0,3,6.5,43.77818653,-79.50745461,3,0,0,0,0,2,3,1,2,0,0,0,0,2,0,0,0,n,n,n,e,n,n,Track and Field Centre,Dead branch,,,0,periph,within,
2557,2556,5/31/2013,B,Toronto Track & Field,7,672,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,19,1,0,6,6,43.7781945,-79.50742646,0.5,0,3,0,0,2,1,1,1,0,0,0,0,0,0,0,0,n,n,n,e,n,n,Track and Field Centre,Dead branch,,,0,periph,within,
