Tree_Tag_N,Status,Species_Co,Common_Nam,Genus,Species,Ownership,Location_C,DBH,Number_of_,Percentage,Crown_Widt,Total_Heig,Latitude,Longitude,subway,subway_dist,density_10m
1626,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,w,35,1,0,11,14,43.77292209,-79.5138589,out,541.0074349,4
1627,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,w,42.5,1,0,13,15,43.77287514,-79.51382106,out,544.9203246,5
1631,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,w,30,3,0,15,13,43.77274192,-79.5138331,out,559.2075928,8
1632,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,w,29.5,1,0,12,12,43.77268448,-79.51384584,out,565.5690989,6
1633,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,w,24,3,0,10,11,43.7726715,-79.51380918,out,565.9521926,7
1634,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,w,40.5,2,0,12,12,43.77260194,-79.51380858,out,573.2285448,6
1635,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,w,43,2,0,14,12,43.77260859,-79.51376819,out,571.4542422,5
1636,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,w,35,2,0,10,12,43.77253706,-79.51375875,out,578.7013674,7
1637,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,w,35,2,0,8,12,43.77250526,-79.51378546,out,582.7474551,4
1638,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,w,49,4,0,15,15,43.77248652,-79.51373332,out,583.3215632,4
1642,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,w,43,1,0,9,14,43.77216908,-79.51347701,out,609.1800071,6
1643,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,w,41,1,0,8,13,43.77214961,-79.51348044,out,611.2972124,4
1672,alive,mapred,Red Maple,Acer,rubrum,p,s,17.5,1,0,9,14,43.77243112,-79.51225784,out,14.71837481,3
1685,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,e,40,2,0,16,29,43.77296823,-79.51158527,out,471.0120561,3
1686,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,e,25,3,0,14,26,43.77301996,-79.5116411,out,467.3098178,3
1687,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,e,38,1,0,15,28,43.77304702,-79.5116313,out,464.2231569,4
1689,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,e,46,1,0,12,18,43.77316601,-79.51167636,out,453.2493975,4
1694,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,e,28,1,0,7,12,43.773323,-79.51179555,out,440.5324635,2
131,alive,mapred,Red Maple,Acer,rubrum,p,sl,22,1,0,7,21,43.772142,-79.510354,out,520.6460747,2
137,alive,mapnor,Red Maple,Acer,rubrum,p,sl,33.3,1,0,10,30,43.771885,-79.510506,out,551.6934831,3
211,alive,mapred,Red Maple,Acer,rubrum,p,fy,18.152866,1,0,9,19,43.771892,-79.508016,out,477.6440002,2
310,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,fy,18,3,0,16,9,43.771239,-79.507778,out,538.1872658,3
312,alive,mapred,Red Maple,Acer,rubrum,p,fy,20,1,0,10,10,43.771272,-79.507641,out,530.746417,4
313,alive,mapred,Red Maple,Acer,rubrum,p,fy,35,1,0,14,20,43.77127,-79.507604,out,529.8655874,4
314,alive,mapred,Red Maple,Acer,rubrum,p,fy,23.5,1,0,14,20,43.771281,-79.507531,out,526.58177,4
323,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,fy,4,1,0,2,2,43.771312,-79.507119,out,511.2634043,11
324,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,fy,3,1,0,2,2,43.771307,-79.507066,out,510.2225013,10
325,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,fy,4,1,0,2,2,43.771288,-79.507021,out,510.8648903,8
326,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,fy,4,1,0,2,2,43.771337,-79.507122,out,508.7656833,10
329,alive,mapred,Red Maple,Acer,rubrum,p,fy,4,1,0,2,4,43.771354,-79.507106,out,506.5368966,10
353,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,sr,29.5,1,0,14,16,43.771272,-79.50624,out,489.555838,3
354,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,sr,22.5,2,0,12,16,43.771266,-79.506315,out,492.3853293,3
355,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,sr,21.5,4,0,12,16,43.771225,-79.506266,out,495.1817961,4
365,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,sr,5,1,0,2.5,4,43.770997,-79.506575,out,527.8532935,5
369,alive,mapred,Red Maple,Acer,rubrum,p,sr,6,1,0,4.5,4.5,43.770842,-79.506588,out,544.2681016,6
420,alive,mapred,Red Maple,Acer,rubrum,p,sr,4.936306,1,0,1,3.5,43.770487,-79.506607,out,581.530281,3
421,alive,mapred,Red Maple,Acer,rubrum,p,sr,4.458599,1,0,1,3.5,43.77041,-79.506529,out,587.1770321,4
423,alive,mapred,Red Maple,Acer,rubrum,p,sr,5.414013,1,0,1,4,43.770322,-79.506481,out,594.8484965,3
424,alive,mapred,Red Maple,Acer,rubrum,p,sr,5.095541,1,0,1,3.5,43.77,-79.507065,out,645.3846598,9
425,alive,mapred,Red Maple,Acer,rubrum,p,sr,11.305732,1,0,1,8,43.769786,-79.50682,out,660.2664316,6
453,alive,mapred,Red Maple,Acer,rubrum,p,sr,5.732484,1,0,9,5,43.76984,-79.506245,out,637.6385466,3
454,alive,mapred,Red Maple,Acer,rubrum,p,sr,5.254777,1,0,9,4.5,43.769902,-79.506295,out,632.7298486,8
455,alive,mapred,Red Maple,Acer,rubrum,p,sr,7.006369,1,0,6,5,43.769961,-79.506227,out,624.6132811,4
471,alive,mapred,Red Maple,Acer,rubrum,p,by,9,1,0,7,8,43.769593,-79.506086,out,658.3922711,5
483,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,by,4,2,0,3,3.5,43.769952,-79.506973,out,647.6441977,6
484,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,by,6,2,0,3,3.5,43.769966,-79.506989,out,646.6672111,8
485,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,by,5,2,0,3,3.5,43.769984,-79.507018,out,645.6579129,9
501,alive,mapred,Red Maple,Acer,rubrum,p,by,9,1,0,3.5,9,43.770785,-79.507932,out,589.6748171,3
502,alive,mapred,Red Maple,Acer,rubrum,p,by,11.5,1,0,10,14,43.770844,-79.508005,out,585.7180378,6
503,alive,mapred,Red Maple,Acer,rubrum,p,by,10,1,0,7.5,10,43.770883,-79.50806,out,583.300841,7
505,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,by,5,1,0,2,3,43.770669,-79.507712,out,595.2060548,1
506,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,by,5,1,0,4,3,43.770796,-79.507672,out,580.8936718,3
507,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,by,5,1,0,5,3,43.770888,-79.507727,out,572.9943454,5
508,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,by,5,1,0,4,3,43.770927,-79.507825,out,571.8412543,7
509,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,by,5,1,0,4,3,43.770969,-79.507864,out,568.6433999,5
886,alive,mapred,Red Maple,Acer,rubrum,p,by,8.5,1,0,2,10,43.77039,-79.503609,out,502.7057281,6
1208,alive,mapred,Red Maple,Acer,rubrum,p,sr,49.5,1,0,60,20,43.768955,-79.503313,out,642.8293553,2
1229,alive,mapred,Red Maple,Acer,rubrum,p,sr,18.5,1,0,15,15,43.768372,-79.503908,out,720.5212038,1
1245,alive,mapred,Red Maple,Acer,rubrum,p,by,43.5,1,0,12,17,43.767903,-79.504132,out,775.6287455,3
1246,alive,mapred,Red Maple,Acer,rubrum,p,by,32.7,1,0,11,16,43.767919,-79.50419,out,775.654287,3
1281,alive,mapred,Red Maple,Acer,rubrum,p,by,18.5,1,0,3.5,11,43.768178,-79.505261,out,780.0636425,2
1289,alive,mapred,Red Maple,Acer,rubrum,p,sl,20.5,1,0,10,9,43.768365,-79.505322,out,762.5396547,2
1341,alive,mapred,Red Maple,Acer,rubrum,p,sl,13.853503,1,0,0,7.5,43.771211,-79.503111,out,403.1650652,3
1347,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,fy,20.700637,2,0,6.3,11,43.768414,-79.50779,out,830.7445936,2
144,alive,mapred,Red Maple,Acer,rubrum,p,pl,25.8,1,0,14,13,43.769361,-79.500654,out,524.3122209,2
147,alive,mapred,Red Maple,Acer,rubrum,p,pl,24.5,1,0,8,12,43.769247,-79.501181,out,551.2427174,2
148,alive,mapred,Red Maple,Acer,rubrum,p,pl,34.8,1,0,9,12.5,43.769242,-79.501271,out,554.3473939,2
433,alive,mapred,Red Maple,Acer,rubrum,p,fy,17.5,1,15,12,9,43.773895,-79.501228,within,70.34857588,3
550,alive,mapred,Red Maple,Acer,rubrum,p,fy,17.8,1,0,9,9,43.773444,-79.500891,within,107.3045584,3
555,alive,mapred,Red Maple,Acer,rubrum,p,fy,25,1,10,4,14,43.773361,-79.501201,within,124.9053506,4
561,alive,mapred,Red Maple,Acer,rubrum,p,fy,24.3,1,0,7,17,43.773337,-79.50154,within,137.233512,5
569,alive,mapred,Red Maple,Acer,rubrum,p,fy,25.5,1,0,4,17,43.773241,-79.501971,within,159.6939066,3
573,alive,mapred,Red Maple,Acer,rubrum,p,fy,28,1,0,9,14,43.773577,-79.502059,within,127.4345695,5
576,alive,mapred,Red Maple,Acer,rubrum,p,fy,27,1,0,11,16,43.7736,-79.501955,within,122.0247049,4
577,alive,mapred,Red Maple,Acer,rubrum,p,fy,28,1,0,12,17,43.773568,-79.501817,within,121.3350361,4
581,alive,mapred,Red Maple,Acer,rubrum,p,fy,22.5,1,0,9,15,43.773674,-79.50163,within,104.9214032,4
585,alive,mapred,Red Maple,Acer,rubrum,p,fy,25.3,1,25,9,16,43.773724,-79.501424,within,93.75971633,3
587,alive,mapred,Red Maple,Acer,rubrum,p,fy,26.8,1,0,9,17,43.773762,-79.501299,within,86.19297714,2
774,alive,mapred,Red Maple,Acer,rubrum,p,fy,11.3,1,0,5,8.5,43.771238,-79.496329,out,203.7706562,1
775,alive,mapred,Red Maple,Acer,rubrum,p,fy,9.5,1,0,2,6,43.771296,-79.496077,within,190.0890887,1
777,alive,mapred,Red Maple,Acer,rubrum,p,fy,11.7,1,0,4,7,43.771353,-79.495815,within,174.1767353,1
786,alive,mapred,Red Maple,Acer,rubrum,p,fy,10.3,1,0,1,6,43.771568,-79.494531,within,91.20229567,1
787,alive,mapred,Red Maple,Acer,rubrum,p,fy,10.5,1,0,2,6,43.771639,-79.494322,within,73.23324325,2
788,alive,mapred,Red Maple,Acer,rubrum,p,fy,10.5,1,0,1.5,6,43.771665,-79.494213,within,64.64792075,3
808,alive,mapred,Red Maple,Acer,rubrum,c,sr,45,8,0,25,20,43.771125,-79.494096,within,85.23474518,1
870,alive,mapred,Red Maple,Acer,rubrum,p,by,10.5,1,0,2,5,43.770864,-79.497837,out,286.0975112,1
871,alive,mapred,Red Maple,Acer,rubrum,p,by,14,1,0,4,10,43.77083,-79.498016,out,294.8311682,1
883,alive,mapred,Red Maple,Acer,rubrum,p,fy,15.8,1,0,12,8,43.770641,-79.49901,out,344.3361706,2
884,alive,mapred,Red Maple,Acer,rubrum,p,fy,10,1,0,2,5,43.770595,-79.499198,out,354.4930904,1
885,alive,mapred,Red Maple,Acer,rubrum,p,fy,9,1,0,3,7,43.770559,-79.499384,out,363.5542163,2
886,alive,mapred,Red Maple,Acer,rubrum,p,fy,10,1,0,4,9,43.770538,-79.499459,out,502.7057281,6
887,alive,mapred,Red Maple,Acer,rubrum,p,fy,11,1,0,8,8,43.770514,-79.499577,out,373.7503073,1
888,alive,mapred,Red Maple,Acer,rubrum,p,fy,11,1,0,4,9,43.770486,-79.499704,out,380.2922878,1
1218,alive,mapred,Red Maple,Acer,rubrum,p,sl,13,1,0,6,7.5,43.772052,-79.497393,within,150.1907318,13
1219,alive,mapred,Red Maple,Acer,rubrum,p,sl,14.5,1,0,6,7.5,43.772041,-79.497394,within,151.3503626,14
1220,alive,mapred,Red Maple,Acer,rubrum,p,sr,14.8,1,0,6,7.5,43.772026,-79.497393,within,152.8587033,14
1221,alive,mapred,Red Maple,Acer,rubrum,p,sr,15.2,1,0,6,7.5,43.772014,-79.497397,within,154.2135694,15
1227,alive,mapred,Red Maple,Acer,rubrum,p,sr,14.5,1,0,10,10,43.771967,-79.497371,within,158.2476704,17
1228,alive,mapred,Red Maple,Acer,rubrum,p,sr,12.8,1,0,10,10,43.771956,-79.497375,within,159.5021599,16
1229,alive,mapred,Red Maple,Acer,rubrum,p,sr,23.8,1,0,12,12.5,43.771947,-79.497379,within,720.5212038,1
1259,alive,mapred,Red Maple,Acer,rubrum,p,by,20.6,1,0,12,12,43.771022,-79.498089,out,277.3716338,1
1260,alive,mapred,Red Maple,Acer,rubrum,p,by,21.8,1,0,12,12,43.771045,-79.497969,out,271.306669,2
1261,alive,mapred,Red Maple,Acer,rubrum,p,by,22.5,1,0,12,12,43.771072,-79.497865,out,265.3482924,3
